1;0;m;2;2022/4/8;4:05:AM;
2;0;m2;5;2022/03/14;3:00:PM;
3;0;ddddddd;Ingrese un número para la cantidad;Ingresar: año/mes/día;Ingresar: hora:minutos:AM o PM;
4;0;x;Ingrese un número para la cantidad;Ingresar: año/mes/día;Ingresar: hora:minutos:AM o PM;
5;24;aaa;Ingrese un número para la cantidad;aaaa;Ingresar: año/mes/día;
6;24;uno;2;juan;Ingresar: año/mes/día;
7;24;Ingrese el Medicamento;Ingrese un número para la cantidad;Ingrese el Cliente;Ingresar: año/mes/día;
8;24;m;Ingrese un número para la cantidad;Ingrese el Cliente;Ingresar: año/mes/día;
9;24;aa;2;22;Ingresar: año/mes/día;
10;24;Ingrese el Medicamento;Ingrese un número para la cantidad;Ingrese el Cliente;Ingresar: año/mes/día;
11;24;Ingrese el Medicamento;Ingrese un número para la cantidad;Ingrese el Cliente;Ingresar: año/mes/día;
12;24;Ingrese el Medicamento;Ingrese un número para la cantidad;Ingrese el Cliente;Ingresar: año/mes/día;
13;24;m;Ingrese un número para la cantidad;Ingresar: año/mes/día;Ingresar: hora:minutos:AM o PM;
14;24;m;Ingrese un número para la cantidad;Ingresar: año/mes/día;Ingresar: hora:minutos:AM o PM;
15;24;Ingrese el Medicamento;Ingrese un número para la cantidad;Ingresar: año/mes/día;Ingresar: hora:minutos:AM o PM;
16;24;zs;Ingrese un número para la cantidad;Ingresar: año/mes/día;Ingresar: hora:minutos:AM o PM;
17;24;dd;11;Ingresar: año/mes/día;Ingresar: hora:minutos:AM o PM;
18;24;Ingrese el Vendedor;Ingrese un número para la Kit;Ingresar: año/mes/día;Ingresar: hora:minutos:AM o PM;
19;24;Ingrese el Vendedor;Ingrese un número para la Kit;Ingresar: año/mes/día;Ingresar: hora:minutos:AM o PM;
20;24;Ingrese el Vendedor;Ingrese un número De Kit;Ingresar: año/mes/día;Ingresar: hora:minutos:AM o PM;
21;24;Ingrese el Vendedor;Ingrese un número De Kit;Ingresar: año/mes/día;Ingresar: hora:minutos:AM o PM;
22;24;Ingrese el Vendedor;Ingrese un número De Kit;Ingresar: año/mes/día;Ingresar: hora:minutos:AM o PM;
